series,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,feature_dim,source_json,source_sha256
vicreg_r18_normalized_backbone,0,6,posX,x-position,0.9944475293159485,0.0009081761236302555,216,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,8c8f78461eb6184635edad6d3dc79f77cde1aea867c17de4b92b873099aa3639
vicreg_r18_normalized_backbone,0,6,posY,y-position,0.9949564933776855,0.0009081761236302555,216,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,8c8f78461eb6184635edad6d3dc79f77cde1aea867c17de4b92b873099aa3639
vicreg_r18_normalized_backbone,10,6,scale,size,0.9982385039329529,9.699662768980488e-05,174,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,2cbf8ee801467188297a9e62fc361f56a9f5a64bc46c67a151fe9446495cf8e6
vicreg_r18_normalized_backbone,10,6,posX,x-position,0.9986531138420105,9.699662768980488e-05,174,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,2cbf8ee801467188297a9e62fc361f56a9f5a64bc46c67a151fe9446495cf8e6
vicreg_r18_normalized_backbone,10,6,posY,y-position,0.9987043142318726,9.699662768980488e-05,174,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,2cbf8ee801467188297a9e62fc361f56a9f5a64bc46c67a151fe9446495cf8e6
vicreg_r18_normalized_backbone,40,6,scale,size,0.9991641044616699,0.00014885267592035234,244,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,21cc74e86ff16d1955e1bca35b50f34160d85992abb9a3fbe17e4b8622769fe8
vicreg_r18_normalized_backbone,40,6,posX,x-position,0.9990015029907227,0.00014885267592035234,244,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,21cc74e86ff16d1955e1bca35b50f34160d85992abb9a3fbe17e4b8622769fe8
vicreg_r18_normalized_backbone,40,6,posY,y-position,0.9990948438644409,0.00014885267592035234,244,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,21cc74e86ff16d1955e1bca35b50f34160d85992abb9a3fbe17e4b8622769fe8
vicreg_r18_normalized_backbone,80,6,scale,size,0.9998713135719299,6.961822509765625e-05,253,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,932c5fe8d667a0d6dc0b82fc17ac76035b4de5ea3c24a1f930f421dcc505a8a3
vicreg_r18_normalized_backbone,80,6,posX,x-position,0.9997236132621765,6.961822509765625e-05,253,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,932c5fe8d667a0d6dc0b82fc17ac76035b4de5ea3c24a1f930f421dcc505a8a3
