condition,condition_label,pair_factors,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,source_json,source_sha256
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,6,posX,x-position,0.9997178316116333,7.005532825132832e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,211fae2c3d7cadd5c60e0119539da199c3cc6254a176c95069aa8e8562713559
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,6,posY,y-position,0.999392569065094,7.005532825132832e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,211fae2c3d7cadd5c60e0119539da199c3cc6254a176c95069aa8e8562713559
posX_varies,x-position varies,"[""scale"", ""posY""]",0,17,scale,size,0.9339199066162109,0.00027020773268304765,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,0f986936b20c6ee9b3e10001bd6b42cd651110c2e534ee6f86d29c9377bef4c7
posX_varies,x-position varies,"[""scale"", ""posY""]",0,17,posX,x-position,0.9939320087432861,0.00027020773268304765,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,0f986936b20c6ee9b3e10001bd6b42cd651110c2e534ee6f86d29c9377bef4c7
posX_varies,x-position varies,"[""scale"", ""posY""]",0,17,posY,y-position,0.9941179752349854,0.00027020773268304765,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,0f986936b20c6ee9b3e10001bd6b42cd651110c2e534ee6f86d29c9377bef4c7
posX_varies,x-position varies,"[""scale"", ""posY""]",10,17,scale,size,0.9993604421615601,0.000633200048469007,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,fa7189c62a885449e2837c9d728e1ff1aabb28610bfdd9da787d6e652878700a
posX_varies,x-position varies,"[""scale"", ""posY""]",10,17,posX,x-position,0.7539476156234741,0.000633200048469007,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,fa7189c62a885449e2837c9d728e1ff1aabb28610bfdd9da787d6e652878700a
posX_varies,x-position varies,"[""scale"", ""posY""]",10,17,posY,y-position,0.9997776746749878,0.000633200048469007,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,fa7189c62a885449e2837c9d728e1ff1aabb28610bfdd9da787d6e652878700a
posX_varies,x-position varies,"[""scale"", ""posY""]",40,17,scale,size,0.9997206926345825,0.025148114189505577,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,5833e27d1db9ad5a70dd3737a0bbef6a89206356c6040b273317d069dbd7afeb
posX_varies,x-position varies,"[""scale"", ""posY""]",40,17,posX,x-position,7.098450441844761e-05,0.025148114189505577,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,5833e27d1db9ad5a70dd3737a0bbef6a89206356c6040b273317d069dbd7afeb
posX_varies,x-position varies,"[""scale"", ""posY""]",40,17,posY,y-position,0.9999180436134338,0.025148114189505577,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,5833e27d1db9ad5a70dd3737a0bbef6a89206356c6040b273317d069dbd7afeb
posX_varies,x-position varies,"[""scale"", ""posY""]",80,17,scale,size,0.9997559785842896,0.021998565644025803,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,ca36c3869faa13428daa1a8d0385f70eede044cb9f04457417397215a9bd9c7b
posX_varies,x-position varies,"[""scale"", ""posY""]",80,17,posX,x-position,4.086304397787899e-05,0.021998565644025803,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,ca36c3869faa13428daa1a8d0385f70eede044cb9f04457417397215a9bd9c7b
posX_varies,x-position varies,"[""scale"", ""posY""]",80,17,posY,y-position,0.9999316334724426,0.021998565644025803,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,ca36c3869faa13428daa1a8d0385f70eede044cb9f04457417397215a9bd9c7b
posX_varies,x-position varies,"[""scale"", ""posY""]",0,29,scale,size,0.930261492729187,0.0006385644664987922,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,a1d5b608cc1a7989ff69045b196adae97929f9f549c7f41db5ff0f319f5994c8
posX_varies,x-position varies,"[""scale"", ""posY""]",0,29,posX,x-position,0.9945756196975708,0.0006385644664987922,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,a1d5b608cc1a7989ff69045b196adae97929f9f549c7f41db5ff0f319f5994c8
posX_varies,x-position varies,"[""scale"", ""posY""]",0,29,posY,y-position,0.9937388896942139,0.0006385644664987922,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,a1d5b608cc1a7989ff69045b196adae97929f9f549c7f41db5ff0f319f5994c8
posX_varies,x-position varies,"[""scale"", ""posY""]",10,29,scale,size,0.9990991353988647,0.0007799863815307617,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,3c25fdf68e17df8e48c166e415267b1e5a055cf7d448ae5c5726d26c09bc53d7
posX_varies,x-position varies,"[""scale"", ""posY""]",10,29,posX,x-position,0.8042933940887451,0.0007799863815307617,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,3c25fdf68e17df8e48c166e415267b1e5a055cf7d448ae5c5726d26c09bc53d7
posX_varies,x-position varies,"[""scale"", ""posY""]",10,29,posY,y-position,0.9997385740280151,0.0007799863815307617,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,3c25fdf68e17df8e48c166e415267b1e5a055cf7d448ae5c5726d26c09bc53d7
posX_varies,x-position varies,"[""scale"", ""posY""]",40,29,scale,size,0.999815821647644,0.029903611168265343,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,8b086dda6685d5cc37eef6e5a7b1b9c6d6eedafa17b21ad33a8354fc507875ff
posX_varies,x-position varies,"[""scale"", ""posY""]",40,29,posX,x-position,5.59494219487533e-05,0.029903611168265343,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,8b086dda6685d5cc37eef6e5a7b1b9c6d6eedafa17b21ad33a8354fc507875ff
posX_varies,x-position varies,"[""scale"", ""posY""]",40,29,posY,y-position,0.9999464154243469,0.029903611168265343,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,8b086dda6685d5cc37eef6e5a7b1b9c6d6eedafa17b21ad33a8354fc507875ff
posX_varies,x-position varies,"[""scale"", ""posY""]",80,29,scale,size,0.9998064637184143,0.0323714017868042,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,9927f6185b983f92777a3cfa5790b8f3efdf8278073e63f3a98dddb03f1d8d39
posX_varies,x-position varies,"[""scale"", ""posY""]",80,29,posX,x-position,2.831123310897965e-05,0.0323714017868042,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,9927f6185b983f92777a3cfa5790b8f3efdf8278073e63f3a98dddb03f1d8d39
posX_varies,x-position varies,"[""scale"", ""posY""]",80,29,posY,y-position,0.9999415874481201,0.0323714017868042,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,9927f6185b983f92777a3cfa5790b8f3efdf8278073e63f3a98dddb03f1d8d39
