method,epoch,tag,attr_i,attr_j,cosine,abs_cosine
vicreg,1000,twoview,Bald,Blurry,0.04709770530462265,0.04709770530462265
vicreg,1000,twoview,Bald,Brown_Hair,-0.33312544226646423,0.33312544226646423
vicreg,1000,twoview,Bald,Bushy_Eyebrows,-0.18071317672729492,0.18071317672729492
vicreg,1000,twoview,Bald,Chubby,0.6710072159767151,0.6710072159767151
vicreg,1000,twoview,Bald,Double_Chin,0.6533483862876892,0.6533483862876892
vicreg,1000,twoview,Bald,Eyeglasses,0.22543658316135406,0.22543658316135406
vicreg,1000,twoview,Bald,Goatee,0.3723139762878418,0.3723139762878418
vicreg,1000,twoview,Bald,Gray_Hair,0.6573070883750916,0.6573070883750916
vicreg,1000,twoview,Bald,Heavy_Makeup,-0.2660738229751587,0.2660738229751587
vicreg,1000,twoview,Bald,High_Cheekbones,0.07284177839756012,0.07284177839756012
vicreg,1000,twoview,Bald,Male,0.29396310448646545,0.29396310448646545
vicreg,1000,twoview,Bald,Mouth_Slightly_Open,0.09978877007961273,0.09978877007961273
vicreg,1000,twoview,Bald,Mustache,0.32402047514915466,0.32402047514915466
vicreg,1000,twoview,Bald,Narrow_Eyes,0.1313658356666565,0.1313658356666565
vicreg,1000,twoview,Bald,No_Beard,-0.27586841583251953,0.27586841583251953
vicreg,1000,twoview,Bald,Oval_Face,0.008470998145639896,0.008470998145639896
vicreg,1000,twoview,Bald,Pale_Skin,-0.1545802652835846,0.1545802652835846
vicreg,1000,twoview,Bald,Pointy_Nose,-0.25167715549468994,0.25167715549468994
vicreg,1000,twoview,Bald,Receding_Hairline,0.6575343012809753,0.6575343012809753
vicreg,1000,twoview,Bald,Rosy_Cheeks,-0.12666694819927216,0.12666694819927216
vicreg,1000,twoview,Bald,Sideburns,0.2157314419746399,0.2157314419746399
vicreg,1000,twoview,Bald,Smiling,0.08497677743434906,0.08497677743434906
vicreg,1000,twoview,Bald,Straight_Hair,-0.23093688488006592,0.23093688488006592
vicreg,1000,twoview,Bald,Wavy_Hair,-0.3065735399723053,0.3065735399723053
vicreg,1000,twoview,Bald,Wearing_Earrings,-0.17566163837909698,0.17566163837909698
vicreg,1000,twoview,Bald,Wearing_Hat,-0.059835173189640045,0.059835173189640045
vicreg,1000,twoview,Bald,Wearing_Lipstick,-0.2810331881046295,0.2810331881046295
vicreg,1000,twoview,Bald,Wearing_Necklace,-0.2108640968799591,0.2108640968799591
vicreg,1000,twoview,Bald,Wearing_Necktie,0.5540405511856079,0.5540405511856079
vicreg,1000,twoview,Bald,Young,-0.5997017621994019,0.5997017621994019
vicreg,1000,twoview,Bangs,Big_Lips,0.06132403761148453,0.06132403761148453
vicreg,1000,twoview,Bangs,Big_Nose,-0.1752365231513977,0.1752365231513977
vicreg,1000,twoview,Bangs,Black_Hair,-0.10384216904640198,0.10384216904640198
vicreg,1000,twoview,Bangs,Blond_Hair,0.10987003147602081,0.10987003147602081
vicreg,1000,twoview,Bangs,Blurry,0.029996169731020927,0.029996169731020927
vicreg,1000,twoview,Bangs,Brown_Hair,0.18822577595710754,0.18822577595710754
vicreg,1000,twoview,Bangs,Bushy_Eyebrows,-0.19862093031406403,0.19862093031406403
vicreg,1000,twoview,Bangs,Chubby,-0.19744102656841278,0.19744102656841278
vicreg,1000,twoview,Bangs,Double_Chin,-0.17757059633731842,0.17757059633731842
